362.56311,273.67764,8.9771061,3.63E+02,2.64E+02,7.95E+00,3.63E+02,2.65E+02,9.49E+00,362.56311,192.82271,5.2684007,3.63E+02,2.13E+02,6.87E+00,3.63E+02,2.27E+02,6.34E+00,362.56311,947.47552,173.16,3.63E+02,1.27E+03,2.84E+02,3.63E+02,1.65E+03,4.94E+02,362.56311,1445.5039,4167.2363,3.63E+02,1.45E+03,4.17E+03,3.63E+02,1.45E+03,5.49E+03
286.74304,274.56219,10.387669,2.87E+02,2.64E+02,9.02E+00,2.87E+02,2.65E+02,1.08E+01,286.74304,193.70596,5.8911014,2.87E+02,2.14E+02,7.53E+00,2.87E+02,2.28E+02,6.94E+00,286.74304,966.43842,152.35385,2.87E+02,1.31E+03,2.48E+02,2.87E+02,1.72E+03,4.49E+02,286.74304,1626.0106,5098.6821,2.87E+02,1.63E+03,5.10E+03,2.87E+02,1.63E+03,6.78E+03
226.96107,275.62396,11.552955,2.27E+02,2.65E+02,1.02E+01,2.27E+02,2.65E+02,1.18E+01,226.96107,194.20889,6.3919473,2.27E+02,2.15E+02,8.07E+00,2.27E+02,2.29E+02,7.59E+00,226.96107,981.44751,135.50682,2.27E+02,1.34E+03,2.17E+02,2.27E+02,1.78E+03,4.00E+02,226.96107,1844.9731,6244.4722,2.27E+02,1.84E+03,6.24E+03,2.27E+02,1.87E+03,8.39E+03
179.59773,277.19504,13.178354,1.80E+02,2.67E+02,1.16E+01,1.80E+02,2.65E+02,1.32E+01,179.59773,195.06168,7.0231118,1.80E+02,2.16E+02,8.92E+00,1.80E+02,2.30E+02,8.40E+00,179.59773,993.69763,121.31657,1.80E+02,1.36E+03,1.88E+02,1.80E+02,1.83E+03,3.58E+02,179.59773,2123.531,7665.4702,1.80E+02,2.12E+03,7.67E+03,1.80E+02,2.15E+03,1.04E+04
142.04532,278.58032,14.851254,1.42E+02,2.68E+02,1.32E+01,1.42E+02,2.65E+02,1.51E+01,142.04532,195.61986,7.8444424,1.42E+02,2.17E+02,9.94E+00,1.42E+02,2.31E+02,9.42E+00,142.04532,1004.6454,110.65943,1.42E+02,1.38E+03,1.65E+02,1.42E+02,1.88E+03,3.18E+02,142.04532,2449.2246,9429.4238,1.42E+02,2.45E+03,9.43E+03,1.42E+02,2.52E+03,1.28E+04
112.40989,280.47281,16.866323,1.12E+02,2.70E+02,1.49E+01,1.12E+02,2.65E+02,1.71E+01,112.40989,196.40219,8.751955,1.12E+02,2.18E+02,1.07E+01,1.12E+02,2.32E+02,1.00E+01,112.40989,1014.9399,102.41314,1.12E+02,1.39E+03,1.45E+02,1.12E+02,1.92E+03,2.85E+02,112.40989,2886.9771,11582.727,1.12E+02,2.89E+03,1.16E+04,1.12E+02,2.97E+03,1.59E+04
88.946518,282.75919,19.247818,8.89E+01,2.72E+02,1.68E+01,8.89E+01,2.65E+02,1.93E+01,88.946518,197.39948,9.8514662,8.89E+01,2.19E+02,1.22E+01,8.89E+01,2.33E+02,1.16E+01,88.946518,1024.8026,98.887711,8.89E+01,1.41E+03,1.29E+02,8.89E+01,1.94E+03,2.52E+02,88.946518,3398.6633,14253.105,8.89E+01,3.40E+03,1.43E+04,8.89E+01,3.55E+03,1.96E+04
70.382652,285.0332,21.62678,7.04E+01,2.74E+02,1.87E+01,7.04E+01,2.65E+02,2.15E+01,70.382652,198.0634,11.306549,7.04E+01,2.20E+02,1.36E+01,7.04E+01,2.34E+02,1.32E+01,70.382652,1035.2372,96.031097,7.04E+01,1.42E+03,1.19E+02,7.04E+01,1.97E+03,2.27E+02,70.382652,4061.1233,17503.285,7.04E+01,4.06E+03,1.75E+04,7.04E+01,4.30E+03,2.43E+04
55.695026,287.51846,24.12727,5.57E+01,2.76E+02,2.07E+01,5.57E+01,2.65E+02,2.42E+01,55.695026,198.83127,13.130865,5.57E+01,2.21E+02,1.53E+01,5.57E+01,2.35E+02,1.49E+01,55.695026,1047.2029,96.698647,5.57E+01,1.43E+03,1.11E+02,5.57E+01,2.00E+03,2.08E+02,55.695026,4920.4395,21509.596,5.57E+01,4.92E+03,2.15E+04,5.57E+01,5.26E+03,3.01E+04
44.055431,290.72476,26.940472,4.41E+01,2.78E+02,2.29E+01,4.41E+01,2.65E+02,2.73E+01,44.055431,199.55426,15.23509,4.41E+01,2.23E+02,1.74E+01,4.41E+01,2.36E+02,1.72E+01,44.055431,1056.1378,96.819496,4.41E+01,1.44E+03,1.06E+02,4.41E+01,2.02E+03,1.95E+02,44.055431,6007.7104,26452.645,4.41E+01,6.01E+03,2.65E+04,4.41E+01,6.48E+03,3.72E+04
